country,endo,kf_frozen,varx_frozen
BRA,GDP_YoY,1.9859872633356568,0.5269969972914096
BRA,CPI_YoY,0.7704914464509233,0.4020114541755925
BRA,FX_YoY,1.1686410515170296,0.5942155971796467
BRA,EX_YoY,1.025891197151569,0.4577520980385355
MEX,GDP_YoY,0.25219875637827316,0.31891859742193807
MEX,CPI_YoY,0.1556689193315738,0.2025381978094468
MEX,FX_YoY,1.9817521313518571,0.5532618972871051
MEX,EX_YoY,0.45209468378685275,0.28268591008696015
CHL,GDP_YoY,0.2831360837419848,0.3434479954238487
CHL,CPI_YoY,0.3971504435576327,0.3515505562439993
CHL,FX_YoY,1.2846984013419138,0.4820807182084451
CHL,EX_YoY,0.44925030188310366,0.41258737942052126
PHL,GDP_YoY,0.640390195764321,0.3903269996683757
PHL,CPI_YoY,1.0571408210432856,0.6834964322383582
PHL,FX_YoY,2.173310294539202,2.285116826450133
PHL,EX_YoY,1.2300884166969261,1.019538366510096
IND,GDP_YoY,0.20238699209383185,0.18331783609940477
IND,CPI_YoY,0.45762359433537875,0.4452007141061836
IND,FX_YoY,1.0227983141072112,0.6801041066364194
IND,EX_YoY,0.7971493797817149,0.5290121662168438
IDN,GDP_YoY,0.20173569322344187,0.22731850942117304
IDN,CPI_YoY,0.1369207140406427,0.16633399688440326
IDN,FX_YoY,0.13913851107766215,0.37016161629163763
IDN,EX_YoY,0.5446752762448703,0.44658002466809565
PER,GDP_YoY,0.3106023619023865,0.4892063524044787
PER,CPI_YoY,0.3367492712731507,0.36851671487895604
PER,FX_YoY,0.7365223191805026,0.6901345300087242
PER,EX_YoY,1.1180648761377434,1.2872790843667843
THA,GDP_YoY,2.876686321264936,3.1872085508552734
THA,CPI_YoY,0.4477137254605166,0.3237577447967391
THA,FX_YoY,0.9387688249632891,0.9964734898224903
THA,EX_YoY,1.9702922398526987,1.9295669141282252
COL,GDP_YoY,0.3788942259599165,0.2954096249638914
COL,CPI_YoY,0.3118177151510129,0.3025266951253444
COL,FX_YoY,0.8957046539361482,0.8705341451498562
COL,EX_YoY,0.522447789790735,0.5685950682727303
KEN,GDP_YoY,3.4557523441767826,2.5745958969113016
KEN,CPI_YoY,1.7815554677521797,1.7457742245210994
KEN,FX_YoY,2.3997290192107266,1.8216368088841302
KEN,EX_YoY,1.650049003244278,1.2866683855807441
ZAF,GDP_YoY,0.5787498287950488,0.436719840247227
ZAF,CPI_YoY,0.37217698137404726,0.27588020248284395
ZAF,FX_YoY,0.7585028767228493,0.5723505653390971
ZAF,EX_YoY,0.4464845501528816,0.37882176943008083
