Country,exists,date,GDP-q-cols,GDP-time-cols-exists,GDP-nn-max,GDP-first-date,GDP-last-date,GDP-q-exists,GDP-exists,CPI-exists,CPIF-exists,FX-exists,EX-exists
MEX,True,2026-02-07 15:43:07,Q,False,131,1993-Q1,2025-Q3,True,True,True,True,True,True
COL,True,2026-02-07 15:43:07,Q,False,83,2005-Q1,2025-Q3,True,True,True,True,True,True
PER,True,2026-02-07 15:43:07,Q,False,73,2007-Q1,2025-Q1,True,True,True,False,True,True
BRA,True,2026-02-07 15:43:07,Q,False,119,1996-Q1,2025-Q3,True,True,True,False,True,True
CHL,True,2026-02-07 15:43:07,Q,False,119,1996-Q1,2025-Q3,True,True,True,False,True,True
KEN,True,2026-02-07 15:43:07,Q,False,63,2009-Q1,2024-Q3,True,True,True,True,True,True
ZAF,True,2026-02-07 15:43:07,Q,False,131,1993-Q1,2025-Q3,True,True,True,True,True,True
IND,True,2026-02-07 15:43:07,Q,False,118,1996-Q2,2025-Q3,True,True,True,True,True,True
IDN,True,2026-02-07 15:43:07,Q,False,143,1990-Q1,2025-Q3,True,True,True,False,True,True
THA,True,2026-02-07 15:43:07,Q,False,131,1993-Q1,2025-Q3,True,True,True,True,True,True
PHL,True,2026-02-07 15:43:07,Q,False,196,1972-Q2,2025-Q2,True,True,True,False,True,True
AUS,True,2026-02-07 15:43:07,Q,False,265,1959-Q3,2025-Q3,True,True,True,True,True,True
ESP,True,2026-02-07 15:43:07,Q,False,123,1995-Q1,2025-Q3,True,True,True,True,True,True
ECU,True,2026-02-07 15:43:07,Q,False,138,1991-Q1,2025-Q2,True,True,True,True,True,True
DOM,True,2026-02-07 15:43:07,Q,False,136,1991-Q1,2024-Q4,True,True,True,True,True,True
JAM,True,2026-02-07 15:43:07,Q,False,116,1996-Q1,2024-Q4,True,True,True,False,True,True
PRY,True,2026-02-07 15:43:07,Q,False,126,1994-Q1,2025-Q2,True,True,True,True,True,True
NGA,True,2026-02-07 15:43:07,Q,False,58,2010-Q1,2024-Q2,True,True,True,False,True,True
PAK,True,2026-02-07 15:43:07,Q,False,40,2016-Q1,2025-Q4,True,True,True,True,True,True
LKA,True,2026-02-07 15:43:07,Q,False,62,2010-Q1,2025-Q2,True,True,True,True,True,True
MAR,True,2026-02-07 15:43:07,Q,False,45,2014-Q1,2025-Q1,True,True,True,True,True,True
MEX,True,2026-02-07 17:04:31,Q,True,131,1993-Q1,2025-Q3,True,True,True,True,True,True
COL,True,2026-02-07 17:04:31,Q,True,83,2005-Q1,2025-Q3,True,True,True,True,True,True
PER,True,2026-02-07 17:04:31,Q,True,73,2007-Q1,2025-Q1,True,True,True,False,True,True
BRA,True,2026-02-07 17:04:31,Q,True,119,1996-Q1,2025-Q3,True,True,True,False,True,True
CHL,True,2026-02-07 17:04:31,Q,True,119,1996-Q1,2025-Q3,True,True,True,False,True,True
KEN,True,2026-02-07 17:04:31,Q,True,63,2009-Q1,2024-Q3,True,True,True,True,True,True
ZAF,True,2026-02-07 17:04:31,Q,True,131,1993-Q1,2025-Q3,True,True,True,True,True,True
IND,True,2026-02-07 17:04:31,Q,True,118,1996-Q2,2025-Q3,True,True,True,True,True,True
IDN,True,2026-02-07 17:04:31,Q,True,143,1990-Q1,2025-Q3,True,True,True,False,True,True
THA,True,2026-02-07 17:04:31,Q,True,131,1993-Q1,2025-Q3,True,True,True,True,True,True
PHL,True,2026-02-07 17:04:31,Q,True,196,1972-Q2,2025-Q2,True,True,True,False,True,True
AUS,True,2026-02-07 17:04:31,Q,True,265,1959-Q3,2025-Q3,True,True,True,True,True,True
ESP,True,2026-02-07 17:04:31,Q,True,123,1995-Q1,2025-Q3,True,True,True,True,True,True
ECU,True,2026-02-07 17:04:31,Q,True,138,1991-Q1,2025-Q2,True,True,True,True,True,True
DOM,True,2026-02-07 17:04:31,Q,True,136,1991-Q1,2024-Q4,True,True,True,True,True,True
JAM,True,2026-02-07 17:04:31,Q,True,116,1996-Q1,2024-Q4,True,True,True,False,True,True
PRY,True,2026-02-07 17:04:31,Q,True,126,1994-Q1,2025-Q2,True,True,True,True,True,True
NGA,True,2026-02-07 17:04:31,Q,True,58,2010-Q1,2024-Q2,True,True,True,False,True,True
PAK,True,2026-02-07 17:04:31,Q,True,40,2016-Q1,2025-Q4,True,True,True,True,True,True
LKA,True,2026-02-07 17:04:31,Q,True,62,2010-Q1,2025-Q2,True,True,True,True,True,True
MAR,True,2026-02-07 17:04:31,Q,True,45,2014-Q1,2025-Q1,True,True,True,True,True,True
